RAND40499	17q21.31 deletion syndrome
RAND91223	cerebrovascular accident due to occlusion of left anterior cerebral artery
RAND32574	cerebrovascular accident due to occlusion of left carotid artery
RAND59393	cerebrovascular accident due to occlusion of left cerebellar artery
RAND39745	cerebrovascular accident due to occlusion of left middle cerebral artery
RAND87905	cerebrovascular accident due to occlusion of left pontine artery
RAND82618	cerebrovascular accident due to occlusion of left posterior cerebral artery
RAND62836	cerebrovascular accident due to occlusion of left posterior communicating artery
RAND23743	cerebrovascular accident due to occlusion of left vertebral artery
RAND11767	cerebrovascular accident due to occlusion of right anterior cerebral artery
RAND52158	cerebrovascular accident due to occlusion of right carotid artery
RAND43159	cerebrovascular accident due to occlusion of right cerebellar artery
RAND65777	cerebrovascular accident due to occlusion of right middle cerebral artery
RAND93165	cerebrovascular accident due to occlusion of right pontine artery
RAND27731	cerebrovascular accident due to occlusion of right posterior cerebral artery
RAND61142	cerebrovascular accident due to occlusion of right posterior communicating artery
RAND98256	cerebrovascular accident due to occlusion of right vertebral artery
RAND36095	cerebrovascular accident due to occlusion of right vertebral artery (disorder)
RAND40538	cerebrovascular accident due to right carotid artery occlusion
RAND77603	cerebrovascular accident due to right carotid artery stenosis
RAND94470	cerebrovascular accident due to right vertebral artery occlusion
RAND97438	cerebrovascular accident due to stenosis of left carotid artery
RAND83173	cerebrovascular accident due to stenosis of left vertebral artery
RAND69834	cerebrovascular accident due to stenosis of right carotid artery
RAND21778	cerebrovascular accident due to stenosis of right vertebral artery
RAND88287	cerebrovascular accident due to thrombus of basilar artery
RAND43950	cerebrovascular accident due to thrombus of left carotid artery
RAND71444	cerebrovascular accident due to thrombus of left middle cerebral artery
RAND35509	cerebrovascular accident due to thrombus of left vertebral artery
RAND53638	cerebrovascular accident due to thrombus of right carotid artery
RAND73149	cerebrovascular accident due to thrombus of right cerebellar artery
RAND60286	cerebrovascular accident due to thrombus of right middle cerebral artery
RAND30317	cerebrovascular accident due to thrombus of right posterior cerebral artery
RAND36469	cerebrovascular accident due to thrombus of right vertebral artery
RAND68983	cerebrovascular accident during surgery
RAND84677	cerebrovascular accident with intracranial hemorrhage
RAND85825	cerebrovascular accident, nos
RAND63391	cerebrovascular apoplexy
RAND52349	cerebrovascular disease
RAND54910	cerebral vascular disease
RAND51923	cerebrovascular lesion
RAND52517	stroke
RAND49472	cerebrovascular stroke
RAND26506	cerebrovascular strokes
RAND69750	cerebroventricular neoplasm
RAND83417	cerebroventricular neoplasms
RAND35907	cerebrum ca
RAND86151	cerebrum hemorrhage
RAND79276	cerebrum hemorrhages
RAND35253	chiari network
RAND13993	chiari network of venous valves
RAND76202	chiari network venous valves
RAND98318	chiari's network
RAND49990	chondrodysplasia with haemangioma
RAND27825	chondrodysplasia+haemangioma
RAND15034	chronic cerebrovascular accident
RAND20353	chronic cerebrovascular accident (disorder)
RAND27638	chronic hypoxic-ischemic brain injury
RAND51270	chronic hypoxic-ischemic brain injury (disorder)
RAND50904	chronic stroke
RAND34561	cerebral infarction
RAND87403	cirsoid aneurysm of artery
RAND67646	cirsoid aneurysm of artery (disorder)
RAND50659	cirsoid aneurysm of artery, nos
RAND24036	cobb syndrome
RAND92018	cobb's syndrome
RAND13703	completed stroke
RAND70253	congenital abnormality of great veins and coronary sinus
RAND10725	congenital abnormality of systemic vein
RAND23963	congenital abnormality of vein
RAND82204	congenital absence of vein
RAND22401	congenital aneurysm of coronary sinus
RAND84553	congenital anomaly of azygos vein
RAND93168	congenital anomaly of pulmonary veins
RAND57558	congenital anomaly of pulmonary veins (disorder)
RAND16626	congenital anomaly of pulmonary veins, nos
RAND15823	congenital anomaly of valve of vein
RAND36109	congenital anomaly of vein
RAND10921	congenital anomaly of vein, nos
RAND54975	congenital anomaly of vena cava
RAND53628	ongenital arteriovenous anomaly of retina
RAND54148	congenital arteriovenous anomaly of the gastrointestinal tract
RAND11893	congenital arteriovenous fistula
RAND31406	congenital arteriovenous fistula haemorrhage
RAND21420	congenital arteriovenous fistula hemorrhage
RAND69105	congenital arteriovenous fistula infection
RAND26097	congenital arteriovenous fistula occlusion
RAND44962	congenital arteriovenous fistula of kidney
RAND86109	congenital arteriovenous fistula rupture
RAND71185	congenital arteriovenous fistula stenosis
RAND15419	congenital arteriovenous fistula thrombosis
RAND93644	congenital arteriovenous fistula, nos
RAND26387	congenital arteriovenous malf
RAND95080	congenital arteriovenous malformation
RAND21926	congenital arteriovenous malformation of retina
RAND70059	congenital arteriovenous malformation of retina (disorder)
RAND44838	congenital arteriovenous malformation of the gastrointestinal tract
RAND15962	congenital arteriovenous malformation of the gastrointestinal tract (disorder)
RAND93686	congenital atresia of cardiac vein
RAND40483	congenital atresia of vein
RAND46553	congenital atresia of vein, nos
RAND19012	congenital av - arteriovenous fistula
RAND61064	congenital av-arterioven fist
RAND21982	congenital cerebral arteriovenous malformation
RAND78464	congenital coronary arteriovenous fistula
RAND95487	congenital coronary sinus stenosis
RAND10877	congenital dysplastic angiopathies
RAND58373	congenital dysplastic angiopathy
RAND37866	congenital enlargement of coronary sinus
RAND86263	congenital hypoplasia of cardiac vein
RAND76084	congenital intracranial arteriovenous malformations
RAND10263	congenital phlebectasia
RAND96968	congenital portal-systemic shunt
RAND11170	congenital pulmonary vein confluence
RAND79228	congenital renal arteriovenous malformation
RAND32711	congenital transposition of azygos vein
RAND42779	congenital varix
RAND42930	congenital venous malformation of skin
RAND21196	cor triatriatum sinistrum
RAND20059	coron sinus defect in l atrium
RAND87757	coronary sinus defect in left atrium
RAND51983	cranial meningioma
RAND96148	ct - cerebral thrombosis
RAND69514	ct - cerebral thrombosis
RAND97076	cva
RAND85550	cva (cerebrovascular accident)
RAND68546	cva (cerebrovascular accident) during surgery
RAND72739	cva - cerebral artery occlusion
RAND37615	cva - cerebral infarction
RAND64617	cva - cerebrovascular accid due to intracerebral haemorrhage
RAND92439	cva - cerebrovascular accident
RAND59471	cva - cerebrovascular accident due to cerebral artery occlusion
RAND95462	cva - cerebrovascular accident due to cerebral artery occlusion (disorder)
RAND79900	cva - cerebrovascular accident unspecified
RAND12849	cva - extension of cerebrovascular accident
RAND39935	cva - extension of cva
RAND80704	cva -intracerebral haemorrhage
RAND86917	cva unspecified
RAND28538	cva, nos
RAND13226	cva- cerebral artery occlusion
RAND58188	cvas (cerebrovascular accident)
RAND24118	cvd - cerebrovascular disease
RAND34207	damage, anoxic brain
RAND50753	deep vein aplasia
RAND99523	deep vein hypoplasia
RAND75834	diffuse arteriovenous fistula
RAND15615	diffuse phlebectasia
RAND68394	disease, hypothalamic
RAND50302	disease, klippel-trenaunay
RAND80602	diseases, hypothalamic
RAND11004	disorder of hypothalamus
RAND95449	disorder of optic chiasm associated with non-pituitary neoplasm
RAND68977	disorder of optic chiasm associated with other neoplasm
RAND41508	disorder of optic chiasm associated with pituitary neoplasms and disorders
RAND81081	disorders of optic chiasm associated with pituitary neoplasms and disorders
RAND27109	ductus venosus abnormality
RAND99974	dyschondrodysplasia with hemangiomas
RAND17997	dyschondroplasia and cavernous haemangioma
RAND71876	dyschondroplasia+haemangioma
RAND11796	dysplastic angiopathies, congenital
RAND37186	dysplastic angiopathy, congenital
RAND70275	ectactic vein
RAND45042	ectactic vein (disorder)
RAND31350	electroencephalogram
RAND72207	electroencephalogram
RAND75329	embolic stroke
RAND39356	embolic stroke (disorder)
RAND28729	enceph hypoxic ischemic
RAND51194	encephalocutan. angiomatosis
RAND40560	encephalocutaneous angiomatosis
RAND12025	encephalofacial haemangiomat
RAND89625	encephalofacial haemangiomatosis
RAND50039	encephalofacial hemangiomatosis
RAND43061	encephalofacial hemangiomatosis syndrome
RAND21386	encephalopathies, anoxic
RAND55622	encephalopathies, hypoxic-ischemic
RAND80904	encephalopathies, ischemic-hypoxic
RAND86932	encephalopathy, anoxic
RAND40327	encephalopathy, hypoxic ischemic
RAND16672	encephalopathy, hypoxic-ischemic
RAND36840	encephalopathy, ischemic-hypoxic
RAND59595	encephalotrigeminal angiomatosis
RAND50387	enchondromatosis with haemangiomata
RAND86639	enchondromatosis with haemangiomata (disorder)
RAND94857	enchondromatosis with multiple cavernous hemangiomas
RAND51027	enchondromatosis+haemangiomata
RAND74994	extension of cerebrovascular accident
RAND66906	extension of cerebrovascular accident (disorder)
RAND45262	extension of cva
RAND55860	extension of stroke
RAND58509	filigreed netwk venous valves
RAND40325	filigreed network of venous valves
RAND57702	fistula, arteriovenous
RAND52300	fistulas, arteriovenous
RAND79653	galen malformations veins
RAND15342	germ cell tumor of the brain
RAND59724	germ cell tumor of the brain (disorder)
RAND15781	germ cell tumour of the brain
RAND78792	glial cell tumor
RAND32369	glial cell tumors
RAND36168	glial tumor of brain
RAND94834	glial tumor of brain (disorder)
RAND93812	glial tumour of brain
RAND27536	glioma
RAND22262	glioma (disorder)
RAND21638	glioma (morphologic abnormality)
RAND68686	glioma of brain
RAND38157	gliomas
RAND43156	glioneuronal tumor
RAND57317	gorham dis
RAND82214	gorham's disease
RAND45550	gorham's disease (disorder)
RAND86013	gsd
RAND65330	haemangiectatic hypertrophy
RAND10145	haemangiomata with dyschondroplasia
RAND43289	haemangiomata with osteolysis
RAND44538	haemangiomata+dyschondroplasia
RAND53407	haemorrhagic cerebral infarct
RAND98360	haemorrhagic cerebral infarction
RAND63073	hamartoma
RAND45360	hamartoma (disorder)
RAND16927	hamartoma (morphologic abnormality)
RAND45641	hamartoma of brain
RAND92280	hamartoma of brain (disorder)
RAND65128	hamartoma of pituitary and hypothalamus
RAND50219	hamartoma of pituitary and hypothalamus (disorder)
RAND62081	hamartoma pituit/hypothalamus
RAND39796	hamartoma, nos
RAND47119	hamartomas
RAND66796	heart, triatrial
RAND97648	hearts, triatrial
RAND29201	hemangiectatic hypertrophy
RAND68117	hemangiomata with osteolysis
RAND83157	hemangiomatosis chondrodystrophica
RAND75507	hemangiomatosis syndrome, encephalofacial
RAND10043	hemorrhage of cerebrum
RAND73269	emorrhage, cerebral brain
RAND23003	hemorrhage, cerebral parenchymal
RAND65700	hemorrhage, cerebrum
RAND50581	hemorrhage, intracerebral
RAND98895	hemorrhages, cerebral
RAND65827	hemorrhages, cerebral brain
RAND17526	hemorrhages, cerebral parenchymal
RAND70670	hemorrhages, cerebrum
RAND71579	hemorrhages, intracerebral
RAND63389	hemorrhagic cerebral infarction
RAND96585	hemorrhagic cerebral infarction (disorder)
RAND46975	hennekam lymphag-lymphed synd
RAND27558	hennekam lymphangiectasia lymphedema syndrome
RAND61956	hennekam lymphangiectasia-lymphedema syndrome (disorder)
RAND57542	hennekam lymphangiectasia-lymphoedema syndrome
RAND31641	hepatic arteriovenous malformation
RAND55063	hie - perin hypox-isch enceph
RAND69113	hie - perinatal hypoxic - ischaemic encephalopathy
RAND67070	hie - perinatal hypoxic - ischemic encephalopathy
RAND23675	hypomel-hypotrich-facial haem
RAND62272	hypomelia hypotrichosis facial haemangioma syndrome
RAND77982	hypomelia-hypotrichosis-facial haemangioma syndrome
RAND83439	hypomelia-hypotrichosis-facial hemangioma syndrome
RAND35057	hypoplasia of cardiac vein
RAND30107	hypoplasia of cardiac vein (disorder)
RAND81053	hypothalamic dis
RAND95479	hypothalamic diseases
RAND47765	hypothalamic mass
RAND73275	hypothalamic mass (disorder)
RAND32885	hypothalamic neuronal hamartom
RAND86995	hypothalamic neuronal hamartoma
RAND99441	hypothalamic neuronal hamartoma (disorder)
RAND45376	hypothalamus disorder
RAND13921	hypothalamus disorders
RAND68784	hypoxc-ischem enceph nos
RAND38431	hypoxic ischaemic brain injury
RAND20395	hypoxic ischaemic encephalopathy
RAND19317	hypoxic ischemic brain injury
RAND17651	hypoxic ischemic enceph
RAND38490	hypoxic ischemic encephalopathy (disorder)
RAND63676	hypoxic ischemic encephalopathy [hie]
RAND54021	hypoxic ischemic encephalopathy [hie], unspecified
RAND67094	hypoxic-ischemic encephalopathies
RAND50810	hypoxic-ischemic encephalopathy
RAND54689	hypoxic-ischemic encephalopathy (hie)
RAND33239	hypoxic-ischemic encephalopathy, unspecified
RAND38825	ich - intracerebral haemorrhag
RAND22023	ich - intracerebral haemorrhage
RAND32294	ich - intracerebral hemorrhage
RAND54346	infarct cerebral
RAND61995	infarction - cerebral
RAND80632	infarction of basal ganglia
RAND39952	infarction of basal ganglia (disorder)
RAND83566	infarction, brain
RAND71601	infarction, cerebral
RAND73170	infarctions, brain
RAND55033	infarctions, cerebral
RAND50286	inj brain
RAND91163	injuries, brain
RAND52030	injury, brain
RAND50358	interatrial communication through coronary sinus orifice
RAND79581	interatrial communication through coronary sinus orifice
RAND74750	interatrial communication through coronary sinus orifice (disorder)
RAND31552	interatrial communication through coronary sinus orifice (disorder)
RAND33413	intracerebral haematoma
RAND83724	intracerebral haemorrhage
RAND58805	intracerebral haemorrhage (ich)
RAND33425	intracerebral haemorrhage nos
RAND99920	intracerebral haemorrhage, unspecified
RAND10244	intracerebral hematoma
RAND51686	intracerebral hemorrhage (disorder)
RAND79194	intracerebral hemorrhage (ich)
RAND98438	intracerebral hemorrhage nos
RAND65447	intracerebral hemorrhage nos (disorder)
RAND17897	intracerebral hemorrhage, nos
RAND85336	intracerebral hemorrhage, unspecified
RAND37375	intracerebral hemorrhages
RAND55322	intracerebral injury
RAND94892	intracerebral injury nos
RAND67609	intracranial arteriovenous malformation
RAND86019	intracranial arteriovenous malformations
RAND55011	intracranial arteriovenous malformations congen
RAND96553	intracranial arteriovenous malformations, congenital
RAND42398	intracranial avm
RAND66804	intracranial glioma
RAND24068	intracranial glioma (disorder)
RAND10515	intracranial meningioma (disorder)
RAND13945	intracranial meningiomas
RAND83668	intracranial sinus thrombosis, embolism and/or inflammation
RAND95557	intracranial sinus thrombosis, embolism and/or inflammation (disorder)
RAND93284	intracranial vascular dis
RAND80095	intracranial vascular disease
RAND89414	intracranial vascular diseases
RAND19781	intracranial vascular disorder
RAND45855	intracranial vascular disorders
RAND31973	intrapulm arterioven fistula
RAND47672	intrapulmonary arteriovenous fistula
RAND28731	intrapulmonary arteriovenous fistula (disorder)
RAND24319	intraventricular neopl
RAND56057	intraventricular neoplasm
RAND56890	intraventricular neoplasms
RAND79535	ischaemic stroke
RAND70690	ischemic hypoxic enceph
RAND63589	ischemic hypoxic encephalopathy
RAND20897	ischemic stroke
RAND75777	ischemic stroke (disorder)
RAND18627	ischemic-hypoxic encephalopathies
RAND85921	ischemic-hypoxic encephalopathy
RAND76235	juvenile myopathy, encephalopathy, lactic acidosis and stroke (disorder)
RAND89707	kast syndrome
RAND84468	kast's syndrome
RAND31811	klippel trenaunay dis
RAND66710	klippel trenaunay disease
RAND22383	klippel trenaunay syndrome (disorder)
RAND25360	klippel trenaunay weber syndrome
RAND41793	klippel tr?â??naunay weber syndrome
RAND51704	klippel-trenaunay disease
RAND18379	klippel-trenaunay syndromes
RAND55267	klippel-trenaunay-weber syndro
RAND79018	klippel-trenaunay-weber syndrome (disorder)
RAND47945	klippel-tr?â??naunay-weber syndrome
RAND15161	kts
RAND52079	ktw syndromes
RAND13759	la - cor sinus defect l atrium
RAND57370	la - coronary sinus defect in left atrium
RAND61692	lacunar strokes
RAND46422	lacunar syndrome
RAND70055	lacunar syndromes
RAND68091	laevoatrial cardinal vein
RAND20779	left atrium to innominate vein
RAND30620	left atrium, subdivided
RAND10287	left atriums, subdivided
RAND18099	left inferior caval vein connecting to left sided atrium
RAND60855	left inferior caval vein connecting to right sided atrium
RAND38470	left inferior vena cava connecting to left sided atrium
RAND80289	left inferior vena cava connecting to right sided atrium
RAND77106	left sided cerebral hemisphere cerebrovascular accident
RAND71514	left sided cerebral hemisphere cerebrovascular accident (disorder)
RAND94517	left sided cva
RAND44884	left vertebral artery embolism with stroke
